bank_name,bank_type,financial_year,fy_year_num,metric,value,metric_label
HDFC Bank,Private,FY20,2020,net_profit_cr,26257.0,Net Profit (Cr)
HDFC Bank,Private,FY21,2021,net_profit_cr,31116.0,Net Profit (Cr)
HDFC Bank,Private,FY22,2022,net_profit_cr,36961.0,Net Profit (Cr)
HDFC Bank,Private,FY23,2023,net_profit_cr,44109.0,Net Profit (Cr)
HDFC Bank,Private,FY24,2024,net_profit_cr,64062.0,Net Profit (Cr)
HDFC Bank,Private,FY25,2025,net_profit_cr,70792.0,Net Profit (Cr)
ICICI Bank,Private,FY20,2020,net_profit_cr,7931.0,Net Profit (Cr)
ICICI Bank,Private,FY21,2021,net_profit_cr,16193.0,Net Profit (Cr)
ICICI Bank,Private,FY22,2022,net_profit_cr,23339.0,Net Profit (Cr)
ICICI Bank,Private,FY23,2023,net_profit_cr,31896.0,Net Profit (Cr)
ICICI Bank,Private,FY24,2024,net_profit_cr,40888.0,Net Profit (Cr)
ICICI Bank,Private,FY25,2025,net_profit_cr,47227.0,Net Profit (Cr)
Axis Bank,Private,FY20,2020,net_profit_cr,1627.0,Net Profit (Cr)
Axis Bank,Private,FY21,2021,net_profit_cr,6588.0,Net Profit (Cr)
Axis Bank,Private,FY22,2022,net_profit_cr,13025.0,Net Profit (Cr)
Axis Bank,Private,FY23,2023,net_profit_cr,9580.0,Net Profit (Cr)
Axis Bank,Private,FY24,2024,net_profit_cr,26386.0,Net Profit (Cr)
Axis Bank,Private,FY25,2025,net_profit_cr,28055.0,Net Profit (Cr)
SBI,PSU,FY20,2020,net_profit_cr,14488.0,Net Profit (Cr)
SBI,PSU,FY21,2021,net_profit_cr,20410.0,Net Profit (Cr)
SBI,PSU,FY22,2022,net_profit_cr,31676.0,Net Profit (Cr)
SBI,PSU,FY23,2023,net_profit_cr,50232.0,Net Profit (Cr)
SBI,PSU,FY24,2024,net_profit_cr,61077.0,Net Profit (Cr)
SBI,PSU,FY25,2025,net_profit_cr,70901.0,Net Profit (Cr)
PNB,PSU,FY20,2020,net_profit_cr,336.0,Net Profit (Cr)
PNB,PSU,FY21,2021,net_profit_cr,2022.0,Net Profit (Cr)
PNB,PSU,FY22,2022,net_profit_cr,3457.0,Net Profit (Cr)
PNB,PSU,FY23,2023,net_profit_cr,2507.0,Net Profit (Cr)
PNB,PSU,FY24,2024,net_profit_cr,8245.0,Net Profit (Cr)
PNB,PSU,FY25,2025,net_profit_cr,16630.0,Net Profit (Cr)
Bank of Baroda,PSU,FY20,2020,net_profit_cr,546.0,Net Profit (Cr)
Bank of Baroda,PSU,FY21,2021,net_profit_cr,828.0,Net Profit (Cr)
Bank of Baroda,PSU,FY22,2022,net_profit_cr,7272.0,Net Profit (Cr)
Bank of Baroda,PSU,FY23,2023,net_profit_cr,14110.0,Net Profit (Cr)
Bank of Baroda,PSU,FY24,2024,net_profit_cr,17789.0,Net Profit (Cr)
Bank of Baroda,PSU,FY25,2025,net_profit_cr,20716.0,Net Profit (Cr)
HDFC Bank,Private,FY20,2020,gross_npa_pct,1.26,Gross NPA (%)
HDFC Bank,Private,FY21,2021,gross_npa_pct,1.32,Gross NPA (%)
HDFC Bank,Private,FY22,2022,gross_npa_pct,1.17,Gross NPA (%)
HDFC Bank,Private,FY23,2023,gross_npa_pct,1.12,Gross NPA (%)
HDFC Bank,Private,FY24,2024,gross_npa_pct,1.24,Gross NPA (%)
HDFC Bank,Private,FY25,2025,gross_npa_pct,1.33,Gross NPA (%)
ICICI Bank,Private,FY20,2020,gross_npa_pct,5.53,Gross NPA (%)
ICICI Bank,Private,FY21,2021,gross_npa_pct,4.96,Gross NPA (%)
ICICI Bank,Private,FY22,2022,gross_npa_pct,3.6,Gross NPA (%)
ICICI Bank,Private,FY23,2023,gross_npa_pct,2.81,Gross NPA (%)
ICICI Bank,Private,FY24,2024,gross_npa_pct,2.3,Gross NPA (%)
ICICI Bank,Private,FY25,2025,gross_npa_pct,1.7,Gross NPA (%)
Axis Bank,Private,FY20,2020,gross_npa_pct,4.86,Gross NPA (%)
Axis Bank,Private,FY21,2021,gross_npa_pct,3.7,Gross NPA (%)
Axis Bank,Private,FY22,2022,gross_npa_pct,2.82,Gross NPA (%)
Axis Bank,Private,FY23,2023,gross_npa_pct,2.02,Gross NPA (%)
Axis Bank,Private,FY24,2024,gross_npa_pct,1.5,Gross NPA (%)
Axis Bank,Private,FY25,2025,gross_npa_pct,1.3,Gross NPA (%)
SBI,PSU,FY20,2020,gross_npa_pct,6.15,Gross NPA (%)
SBI,PSU,FY21,2021,gross_npa_pct,4.98,Gross NPA (%)
SBI,PSU,FY22,2022,gross_npa_pct,3.97,Gross NPA (%)
SBI,PSU,FY23,2023,gross_npa_pct,2.78,Gross NPA (%)
SBI,PSU,FY24,2024,gross_npa_pct,2.24,Gross NPA (%)
SBI,PSU,FY25,2025,gross_npa_pct,1.82,Gross NPA (%)
PNB,PSU,FY20,2020,gross_npa_pct,14.21,Gross NPA (%)
PNB,PSU,FY21,2021,gross_npa_pct,14.12,Gross NPA (%)
PNB,PSU,FY22,2022,gross_npa_pct,11.78,Gross NPA (%)
PNB,PSU,FY23,2023,gross_npa_pct,8.74,Gross NPA (%)
PNB,PSU,FY24,2024,gross_npa_pct,5.73,Gross NPA (%)
PNB,PSU,FY25,2025,gross_npa_pct,3.95,Gross NPA (%)
Bank of Baroda,PSU,FY20,2020,gross_npa_pct,9.4,Gross NPA (%)
Bank of Baroda,PSU,FY21,2021,gross_npa_pct,8.87,Gross NPA (%)
Bank of Baroda,PSU,FY22,2022,gross_npa_pct,6.61,Gross NPA (%)
Bank of Baroda,PSU,FY23,2023,gross_npa_pct,3.79,Gross NPA (%)
Bank of Baroda,PSU,FY24,2024,gross_npa_pct,2.92,Gross NPA (%)
Bank of Baroda,PSU,FY25,2025,gross_npa_pct,2.26,Gross NPA (%)
HDFC Bank,Private,FY20,2020,roa_pct,1.89,ROA (%)
HDFC Bank,Private,FY21,2021,roa_pct,1.97,ROA (%)
HDFC Bank,Private,FY22,2022,roa_pct,2.03,ROA (%)
HDFC Bank,Private,FY23,2023,roa_pct,2.07,ROA (%)
HDFC Bank,Private,FY24,2024,roa_pct,1.59,ROA (%)
HDFC Bank,Private,FY25,2025,roa_pct,1.61,ROA (%)
ICICI Bank,Private,FY20,2020,roa_pct,0.81,ROA (%)
ICICI Bank,Private,FY21,2021,roa_pct,1.42,ROA (%)
ICICI Bank,Private,FY22,2022,roa_pct,1.84,ROA (%)
ICICI Bank,Private,FY23,2023,roa_pct,2.13,ROA (%)
ICICI Bank,Private,FY24,2024,roa_pct,2.37,ROA (%)
ICICI Bank,Private,FY25,2025,roa_pct,2.46,ROA (%)
Axis Bank,Private,FY20,2020,roa_pct,0.2,ROA (%)
Axis Bank,Private,FY21,2021,roa_pct,0.7,ROA (%)
Axis Bank,Private,FY22,2022,roa_pct,1.21,ROA (%)
Axis Bank,Private,FY23,2023,roa_pct,0.81,ROA (%)
Axis Bank,Private,FY24,2024,roa_pct,1.83,ROA (%)
Axis Bank,Private,FY25,2025,roa_pct,1.88,ROA (%)
SBI,PSU,FY20,2020,roa_pct,0.38,ROA (%)
SBI,PSU,FY21,2021,roa_pct,0.48,ROA (%)
SBI,PSU,FY22,2022,roa_pct,0.67,ROA (%)
SBI,PSU,FY23,2023,roa_pct,0.96,ROA (%)
SBI,PSU,FY24,2024,roa_pct,1.04,ROA (%)
SBI,PSU,FY25,2025,roa_pct,1.1,ROA (%)
PNB,PSU,FY20,2020,roa_pct,0.04,ROA (%)
PNB,PSU,FY21,2021,roa_pct,0.15,ROA (%)
PNB,PSU,FY22,2022,roa_pct,0.26,ROA (%)
PNB,PSU,FY23,2023,roa_pct,0.18,ROA (%)
PNB,PSU,FY24,2024,roa_pct,0.55,ROA (%)
PNB,PSU,FY25,2025,roa_pct,1.0,ROA (%)
Bank of Baroda,PSU,FY20,2020,roa_pct,0.06,ROA (%)
Bank of Baroda,PSU,FY21,2021,roa_pct,0.07,ROA (%)
Bank of Baroda,PSU,FY22,2022,roa_pct,0.6,ROA (%)
Bank of Baroda,PSU,FY23,2023,roa_pct,1.03,ROA (%)
Bank of Baroda,PSU,FY24,2024,roa_pct,1.17,ROA (%)
Bank of Baroda,PSU,FY25,2025,roa_pct,1.26,ROA (%)
HDFC Bank,Private,FY20,2020,nim_pct,4.2,NIM (%)
HDFC Bank,Private,FY21,2021,nim_pct,4.1,NIM (%)
HDFC Bank,Private,FY22,2022,nim_pct,4.0,NIM (%)
HDFC Bank,Private,FY23,2023,nim_pct,4.1,NIM (%)
HDFC Bank,Private,FY24,2024,nim_pct,3.6,NIM (%)
HDFC Bank,Private,FY25,2025,nim_pct,3.9,NIM (%)
ICICI Bank,Private,FY20,2020,nim_pct,3.73,NIM (%)
ICICI Bank,Private,FY21,2021,nim_pct,3.69,NIM (%)
ICICI Bank,Private,FY22,2022,nim_pct,3.96,NIM (%)
ICICI Bank,Private,FY23,2023,nim_pct,4.48,NIM (%)
ICICI Bank,Private,FY24,2024,nim_pct,4.1,NIM (%)
ICICI Bank,Private,FY25,2025,nim_pct,4.4,NIM (%)
Axis Bank,Private,FY20,2020,nim_pct,3.51,NIM (%)
Axis Bank,Private,FY21,2021,nim_pct,3.53,NIM (%)
Axis Bank,Private,FY22,2022,nim_pct,3.47,NIM (%)
Axis Bank,Private,FY23,2023,nim_pct,4.02,NIM (%)
Axis Bank,Private,FY24,2024,nim_pct,3.9,NIM (%)
Axis Bank,Private,FY25,2025,nim_pct,3.98,NIM (%)
SBI,PSU,FY20,2020,nim_pct,3.19,NIM (%)
SBI,PSU,FY21,2021,nim_pct,3.11,NIM (%)
SBI,PSU,FY22,2022,nim_pct,3.12,NIM (%)
SBI,PSU,FY23,2023,nim_pct,3.37,NIM (%)
SBI,PSU,FY24,2024,nim_pct,3.28,NIM (%)
SBI,PSU,FY25,2025,nim_pct,3.09,NIM (%)
PNB,PSU,FY20,2020,nim_pct,2.59,NIM (%)
PNB,PSU,FY21,2021,nim_pct,3.07,NIM (%)
PNB,PSU,FY22,2022,nim_pct,2.71,NIM (%)
PNB,PSU,FY23,2023,nim_pct,3.06,NIM (%)
PNB,PSU,FY24,2024,nim_pct,3.09,NIM (%)
PNB,PSU,FY25,2025,nim_pct,2.93,NIM (%)
Bank of Baroda,PSU,FY20,2020,nim_pct,2.61,NIM (%)
Bank of Baroda,PSU,FY21,2021,nim_pct,2.81,NIM (%)
Bank of Baroda,PSU,FY22,2022,nim_pct,3.03,NIM (%)
Bank of Baroda,PSU,FY23,2023,nim_pct,3.31,NIM (%)
Bank of Baroda,PSU,FY24,2024,nim_pct,3.27,NIM (%)
Bank of Baroda,PSU,FY25,2025,nim_pct,3.02,NIM (%)
HDFC Bank,Private,FY20,2020,casa_pct,42.2,CASA (%)
HDFC Bank,Private,FY21,2021,casa_pct,46.1,CASA (%)
HDFC Bank,Private,FY22,2022,casa_pct,48.2,CASA (%)
HDFC Bank,Private,FY23,2023,casa_pct,44.4,CASA (%)
HDFC Bank,Private,FY24,2024,casa_pct,38.2,CASA (%)
HDFC Bank,Private,FY25,2025,casa_pct,34.9,CASA (%)
ICICI Bank,Private,FY20,2020,casa_pct,45.1,CASA (%)
ICICI Bank,Private,FY21,2021,casa_pct,46.3,CASA (%)
ICICI Bank,Private,FY22,2022,casa_pct,48.9,CASA (%)
ICICI Bank,Private,FY23,2023,casa_pct,45.8,CASA (%)
ICICI Bank,Private,FY24,2024,casa_pct,42.0,CASA (%)
ICICI Bank,Private,FY25,2025,casa_pct,38.4,CASA (%)
Axis Bank,Private,FY20,2020,casa_pct,41.2,CASA (%)
Axis Bank,Private,FY21,2021,casa_pct,45.0,CASA (%)
Axis Bank,Private,FY22,2022,casa_pct,45.0,CASA (%)
Axis Bank,Private,FY23,2023,casa_pct,47.0,CASA (%)
Axis Bank,Private,FY24,2024,casa_pct,42.0,CASA (%)
Axis Bank,Private,FY25,2025,casa_pct,41.0,CASA (%)
SBI,PSU,FY20,2020,casa_pct,45.2,CASA (%)
SBI,PSU,FY21,2021,casa_pct,46.1,CASA (%)
SBI,PSU,FY22,2022,casa_pct,45.3,CASA (%)
SBI,PSU,FY23,2023,casa_pct,43.8,CASA (%)
SBI,PSU,FY24,2024,casa_pct,41.1,CASA (%)
SBI,PSU,FY25,2025,casa_pct,39.97,CASA (%)
PNB,PSU,FY20,2020,casa_pct,43.0,CASA (%)
PNB,PSU,FY21,2021,casa_pct,45.5,CASA (%)
PNB,PSU,FY22,2022,casa_pct,47.4,CASA (%)
PNB,PSU,FY23,2023,casa_pct,43.0,CASA (%)
PNB,PSU,FY24,2024,casa_pct,41.1,CASA (%)
PNB,PSU,FY25,2025,casa_pct,38.8,CASA (%)
Bank of Baroda,PSU,FY20,2020,casa_pct,38.8,CASA (%)
Bank of Baroda,PSU,FY21,2021,casa_pct,41.9,CASA (%)
Bank of Baroda,PSU,FY22,2022,casa_pct,42.1,CASA (%)
Bank of Baroda,PSU,FY23,2023,casa_pct,40.3,CASA (%)
Bank of Baroda,PSU,FY24,2024,casa_pct,39.8,CASA (%)
Bank of Baroda,PSU,FY25,2025,casa_pct,39.95,CASA (%)
